region,activeCases,recovered,death,totalInfected
Andaman and Nicobar Islands,8,7419,129,7556
Andhra Pradesh,15472,1970864,13702,2000038
Arunachal Pradesh,1470,50317,257,52044
Assam,8257,569650,5551,583458
Bihar,169,715742,9649,725560
Chandigarh,43,61201,812,62056
Chhattisgarh,931,989560,13552,1004043
Dadra and Nagar Haveli and Daman and Diu,3,10650,4,10657
Delhi,459,1411736,25079,1437274
Goa,906,168878,3182,172966
Gujarat,186,815008,10078,825272
Haryana,675,759972,9665,770312
Himachal Pradesh,2413,205457,3562,211432
Jammu and Kashmir,1141,318409,4401,323951
Jharkhand,215,342360,5132,347707
Karnataka,21187,2877785,37105,2936077
Kerala,182818,3584634,19345,3786797
Ladakh,72,20204,207,20483
Lakshadweep,33,10222,51,10306
Madhya Pradesh,95,781479,10515,792089
Maharashtra,58958,6221305,135672,6415935
Manipur,4303,104173,1739,110215
Meghalaya,3373,68583,1261,73217
Mizoram,7044,44368,192,51604
Nagaland,1032,27841,609,29482
Odisha,8705,983245,7223,999173
Puducherry,963,120004,1806,122773
Punjab,538,583291,16351,600180
Rajasthan,155,944886,8954,953995
Sikkim,1706,27087,364,29157
Tamil Nadu,19621,2543319,34663,2597603
Telangana,6728,643812,3854,654394
Tripura,1285,79871,785,81941
Uttarakhand,333,335007,7376,342716
Uttar Pradesh,408,1685877,22791,1709076
West Bengal,9635,1513766,18346,1541747
Andaman and Nicobar Islands,8,7419,129,7556
Andhra Pradesh,15472,1970864,13702,2000038
Arunachal Pradesh,1470,50317,257,52044
Assam,8257,569650,5551,583458
Bihar,169,715742,9649,725560
Chandigarh,43,61201,812,62056
Chhattisgarh,931,989560,13552,1004043
Dadra and Nagar Haveli and Daman and Diu,3,10650,4,10657
Delhi,459,1411736,25079,1437274
Goa,906,168878,3182,172966
Gujarat,186,815008,10078,825272
Haryana,675,759972,9665,770312
Himachal Pradesh,2413,205457,3562,211432
Jammu and Kashmir,1141,318409,4401,323951
Jharkhand,215,342360,5132,347707
Karnataka,21187,2877785,37105,2936077
Kerala,182818,3584634,19345,3786797
Ladakh,72,20204,207,20483
Lakshadweep,33,10222,51,10306
Madhya Pradesh,95,781479,10515,792089
Maharashtra,58958,6221305,135672,6415935
Manipur,4303,104173,1739,110215
Meghalaya,3373,68583,1261,73217
Mizoram,7044,44368,192,51604
Nagaland,1032,27841,609,29482
Odisha,8705,983245,7223,999173
Puducherry,963,120004,1806,122773
Punjab,538,583291,16351,600180
Rajasthan,155,944886,8954,953995
Sikkim,1706,27087,364,29157
Tamil Nadu,19621,2543319,34663,2597603
Telangana,6728,643812,3854,654394
Tripura,1285,79871,785,81941
Uttarakhand,333,335007,7376,342716
Uttar Pradesh,408,1685877,22791,1709076
West Bengal,9635,1513766,18346,1541747
Andaman and Nicobar Islands,9,7419,129,7557
Andhra Pradesh,15141,1972399,13715,2001255
